,worker_id,level_1,acc,avg_rt,conceptual_responses,fail_to_maintain_set,learning_rate,learning_to_learn,nonperseverative_errors,perseverative_errors,perseverative_responses,total_errors
0,s005,0,0.4,666.0,0,0,0.1065709666349284,0.10657096663492849,6,0,4,6
1,s005,1,0.4,581.5,3,1,-0.025386466403426962,-0.025386466403426948,12,0,8,12
2,s005,2,0.4666666666666667,581.5,6,1,0.0037758708957459537,0.03587795673438124,14,2,4,16
3,s005,3,0.6,565.5,16,1,0.017095760551130795,0.08736720529380901,14,2,5,16
4,s005,4,0.58,551.0,18,2,0.0980768251023657,0.027738631308980605,14,7,22,21
5,s005,5,0.5833333333333334,556.5,20,2,0.0967639504051574,0.013253255208916445,15,10,27,25
6,s005,6,0.5285714285714286,545.0,20,2,0.08750967214144822,-0.011497558469153964,22,11,20,33
7,s005,7,0.5875,540.0,28,2,0.06369282003891795,0.010952883548597187,22,11,23,33
8,s005,8,0.6222222222222222,542.5,37,3,0.07914322917335893,0.015183502759926835,20,14,31,34
9,s005,9,0.5757575757575758,546.0,37,3,0.10195270037952041,0.0004505360254081748,21,21,39,42
10,s005,10,0.5462962962962963,545.0,37,3,0.09674644557460393,-0.007257079862707235,22,27,44,49
11,s005,11,0.5423728813559322,544.0,37,3,0.09014019778826163,-0.0047813523200991095,22,32,49,54
12,s005,12,0.515625,542.5,37,3,0.06840328378832014,-0.010067327884434773,29,33,50,62
13,s005,13,0.4782608695652174,532.0,37,3,0.07761765381722664,-0.01406425609830008,40,32,50,72
14,s005,14,0.4489795918367347,539.0,37,3,0.07631512894700887,-0.01735858419833672,49,32,50,81
15,s005,15,0.46496815286624205,539.0,42,3,0.04598760142021178,-0.010024701124637464,47,37,54,84
16,s005,16,0.49700598802395207,519.0,52,3,0.0557716643559886,-0.0041312299173887545,47,37,54,84
17,s005,17,0.5141242937853108,517.0,58,4,0.05762236669263439,-0.0012026871735013416,52,34,56,86
18,s005,18,0.5133689839572193,516.0,61,5,0.05267557638182711,-0.0011788242031796656,52,39,63,91
19,s005,19,0.5076142131979695,517.0,61,5,0.05520409003507293,-0.002134732516282725,47,50,76,97
20,s005,20,0.4927536231884058,517.0,61,5,0.05727074539377422,-0.0032634987112606715,50,55,81,105
21,s005,21,0.47465437788018433,521.0,61,5,0.0587747149071048,-0.004861454673498762,56,58,83,114
22,s005,22,0.46255506607929514,529.0,61,5,0.06301985723397123,-0.005377453436987018,60,62,89,122
23,s005,23,0.4641350210970464,525.0,63,5,0.05979912486229016,-0.004822684821847821,60,67,99,127
24,s005,24,0.48582995951417,517.0,72,5,0.04257647488783607,-0.0018346948503438652,60,67,102,127
25,s005,25,0.5019455252918288,516.0,80,6,0.04073853947196908,-0.00013976864143234102,59,69,107,128
26,s005,26,0.5056179775280899,517.0,82,6,0.03741624407829559,0.00022190423632190452,59,73,117,132
27,s005,27,0.5217391304347826,517.5,89,6,0.030154173932847587,0.001627434932825985,60,72,119,132
28,s005,28,0.5384615384615384,516.5,99,6,0.0343410311900322,0.0027919049629388727,60,72,121,132
29,s005,29,0.5371621621621622,514.0,100,7,0.035393431993312255,0.0025359378985368264,59,78,131,137
30,s005,30,0.5294117647058824,513.0,100,7,0.0316538359851941,0.0016682186503085869,62,82,135,144
31,s005,31,0.5284810126582279,511.5,100,7,0.030395904559289734,0.00149026756255002,66,83,136,149
32,s005,32,0.5292307692307693,511.0,101,7,0.029529753865900774,0.001386590112547511,73,80,142,153
33,s005,33,0.5223880597014925,512.0,101,7,0.03234413732388599,0.0008421913233354247,74,86,148,160
34,s005,34,0.5333333333333333,511.0,108,7,0.026236565363631385,0.0015308913909497864,69,92,147,161
